,number,state,value,datetime_start,datetime_complete,params,params,user_attrs,system_attrs
,,,,,,BalancedBaggingClassifier_n_estimators,model,score,_number
0,0,TrialState.COMPLETE,0.8524190713578116,2020-01-06 11:28:11.069221,2020-01-06 11:30:15.333901,46,BalancedBaggingClassifier,0.8524190713578116,0
1,1,TrialState.COMPLETE,0.8523391812865496,2020-01-06 11:28:11.073979,2020-01-06 11:30:13.479115,55,BalancedBaggingClassifier,0.8523391812865496,1
2,2,TrialState.COMPLETE,0.8524670054005687,2020-01-06 11:28:11.075633,2020-01-06 11:30:17.872840,59,BalancedBaggingClassifier,0.8524670054005687,2
3,3,TrialState.COMPLETE,0.8522752692295401,2020-01-06 11:28:11.078464,2020-01-06 11:30:20.135006,47,BalancedBaggingClassifier,0.8522752692295401,3
4,4,TrialState.COMPLETE,0.8525548844789569,2020-01-06 11:30:13.479882,2020-01-06 11:32:25.532176,57,BalancedBaggingClassifier,0.8525548844789569,4
5,5,TrialState.COMPLETE,0.8524670054005687,2020-01-06 11:30:15.334523,2020-01-06 11:32:28.219952,59,BalancedBaggingClassifier,0.8524670054005687,5
6,6,TrialState.COMPLETE,0.8522113571725306,2020-01-06 11:30:17.878925,2020-01-06 11:32:30.027754,50,BalancedBaggingClassifier,0.8522113571725306,6
7,7,TrialState.COMPLETE,0.8521953791582781,2020-01-06 11:30:20.136787,2020-01-06 11:32:32.085816,51,BalancedBaggingClassifier,0.8521953791582781,7
